vendor,scanner_type,cidr,source_url,last_verified,confidence
The Shadowserver Foundation,internet_measurement,64.62.128.0/21,https://www.shadowserver.org/what-we-do/data-collection/,2026-06,medium
The Shadowserver Foundation,internet_measurement,64.62.156.0/25,https://www.shadowserver.org/what-we-do/data-collection/,2026-06,medium
The Shadowserver Foundation,internet_measurement,64.62.156.160/28,https://www.shadowserver.org/what-we-do/data-collection/,2026-06,medium
The Shadowserver Foundation,internet_measurement,64.62.156.192/27,https://www.shadowserver.org/what-we-do/data-collection/,2026-06,medium
The Shadowserver Foundation,internet_measurement,74.82.40.0/21,https://www.shadowserver.org/what-we-do/data-collection/,2026-06,medium
The Shadowserver Foundation,internet_measurement,184.105.247.0/24,https://www.shadowserver.org/what-we-do/data-collection/,2026-06,medium
The Shadowserver Foundation,internet_measurement,216.218.206.0/23,https://www.shadowserver.org/what-we-do/data-collection/,2026-06,medium
Censys,internet_measurement,66.132.159.0/24,https://docs.censys.com/docs/opt-out-of-data-collection,2026-06,high
Censys,internet_measurement,66.132.148.0/24,https://docs.censys.com/docs/opt-out-of-data-collection,2026-06,high
Censys,internet_measurement,66.132.153.0/24,https://docs.censys.com/docs/opt-out-of-data-collection,2026-06,high
Censys,internet_measurement,66.132.224.0/24,https://docs.censys.com/docs/opt-out-of-data-collection,2026-06,high
Censys,internet_measurement,66.132.186.0/24,https://docs.censys.com/docs/opt-out-of-data-collection,2026-06,high
Censys,internet_measurement,66.132.195.0/24,https://docs.censys.com/docs/opt-out-of-data-collection,2026-06,high
Censys,internet_measurement,66.132.172.0/24,https://docs.censys.com/docs/opt-out-of-data-collection,2026-06,high
Censys,internet_measurement,162.142.125.0/24,https://docs.censys.com/docs/opt-out-of-data-collection,2026-06,high
Censys,internet_measurement,167.94.138.0/24,https://docs.censys.com/docs/opt-out-of-data-collection,2026-06,high
Censys,internet_measurement,167.94.145.0/24,https://docs.censys.com/docs/opt-out-of-data-collection,2026-06,high
Censys,internet_measurement,167.94.146.0/24,https://docs.censys.com/docs/opt-out-of-data-collection,2026-06,high
Censys,internet_measurement,167.248.133.0/24,https://docs.censys.com/docs/opt-out-of-data-collection,2026-06,high
Censys,internet_measurement,199.45.154.0/24,https://docs.censys.com/docs/opt-out-of-data-collection,2026-06,high
Censys,internet_measurement,199.45.155.0/24,https://docs.censys.com/docs/opt-out-of-data-collection,2026-06,high
Censys,internet_measurement,206.168.34.0/24,https://docs.censys.com/docs/opt-out-of-data-collection,2026-06,high
Censys,internet_measurement,206.168.35.0/24,https://docs.censys.com/docs/opt-out-of-data-collection,2026-06,high
Censys,internet_measurement,2602:80d:1000:b0cc:e::/80,https://docs.censys.com/docs/opt-out-of-data-collection,2026-06,high
Censys,internet_measurement,2620:96:e000:b0cc:e::/80,https://docs.censys.com/docs/opt-out-of-data-collection,2026-06,high
Censys,internet_measurement,2602:80d:1003::/112,https://docs.censys.com/docs/opt-out-of-data-collection,2026-06,high
Censys,internet_measurement,2602:80d:1004::/112,https://docs.censys.com/docs/opt-out-of-data-collection,2026-06,high
Palo Alto Networks Cortex Xpanse,attack_surface_scanning,35.203.210.0/23,https://docs-cortex.paloaltonetworks.com/r/Cortex-XPANSE/2/Cortex-Xpanse-Expander-User-Guide/Scanning-activity,2026-06,high
